March 1 2017 Xuhui Air Quality Data,,,
Hour,PM2.5 (ug/m3),CO2 (ppm),AHR
729,59,400,0.0052
730,59,400,0.0045
731,67,400,0.0039
732,64,400,0.0038
733,63,400,0.0036
734,61,400,0.0032
735,69,400,0.003
736,74,400,0.0027
737,73,400,0.003
738,66,400,0.0031
739,65,400,0.0031
740,52,400,0.0031
741,48,400,0.0031
742,39,400,0.0032
743,42,400,0.003
744,37,400,0.0031
745,35,400,0.0036
746,34,400,0.0036
747,42,400,0.004
748,51,400,0.0043
749,52,400,0.0043
750,53,400,0.0041
751,67,400,0.0041
752,80,400,0.0038
753,82,400,0.0037
754,82,400,0.0031
755,72,400,0.0027
756,68,400,0.0022
757,54,400,0.002
758,64,400,0.0018
759,58,400,0.0015
760,60,400,0.0014
761,60,400,0.0017
762,46,400,0.0017
763,32,400,0.0019
764,26,400,0.0022
765,20,400,0.0022
766,21,400,0.0025
767,24,400,0.0025
768,27,400,0.0032
769,52,400,0.0037
770,73,400,0.0043
771,91,400,0.0044
772,90,400,0.0047
773,84,400,0.0055
774,86,400,0.0063
775,85,400,0.0061
776,90,400,0.0059
777,91,400,0.0051
778,92,400,0.0043
779,96,400,0.0031
780,101,400,0.0028
781,108,400,0.0022
782,107,400,0.002
783,125,400,0.0017
784,126,400,0.0019
785,123,400,0.0018
786,132,400,0.0017
787,143,400,0.0017
788,138,400,0.0025
789,117,400,0.0025
790,96,400,0.003
791,71,400,0.0034
792,63,400,0.004
793,57,400,0.0048
794,58,400,0.0049
795,52,400,0.0058
796,51,400,0.0065
797,60,400,0.0067
798,63,400,0.0071
799,61,400,0.0071
800,76,400,0.0069
801,89,400,0.0063
802,81,400,0.0055
803,83,400,0.0048
804,84,400,0.004
805,76,400,0.004
806,58,400,0.004
807,64,400,0.0039
808,60,400,0.0039
809,58,400,0.0033
810,32,400,0.0033
811,29,400,0.0032
812,29,400,0.0033
813,26,400,0.0035
814,24,400,0.0036
815,27,400,0.004
816,21,400,0.0048
817,24,400,0.0049
818,31,400,0.0055
819,30,400,0.0053
820,35,400,0.0057
821,29,400,0.0061
822,31,400,0.0061
823,23,400,0.0065
824,25,400,0.0065
825,29,400,0.0058
826,31,400,0.0051
827,36,400,0.0041
828,29,400,0.0031
829,35,400,0.0026
830,35,400,0.0023
831,46,400,0.0022
832,50,400,0.0018
833,53,400,0.0018
834,51,400,0.002
835,59,400,0.0023
836,45,400,0.0026
837,51,400,0.0025
838,44,400,0.0027
839,45,400,0.0029
840,59,400,0.0034
841,60,400,0.004
842,59,400,0.0052
843,76,400,0.0058
844,82,400,0.0068
845,91,400,0.0081
846,97,400,0.0073
847,108,400,0.0066
848,122,400,0.0059
849,133,400,0.0054
850,145,400,0.0043
851,151,400,0.0038
852,159,400,0.0025
853,143,400,0.0025
854,146,400,0.0023
855,162,400,0.0021
856,195,400,0.0017
