Closed Office South,2,206,10.6,31.25,3.6,1,60,30.350074997563436,25.35082815571372,21.440252270621546,17.830832162572374,14.206862809096785,10.187006462366762,4.957361789272514,34.999990773638146,34.99999361092446,34.99999361092176,34.999993611706195,34.99898578092613,34.99998705919746,34.999993610907126,34.999993610901655,34.999993610914395,34.999987221812376,34.99998818975109,34.99987985536328,34.99985089057804,34.999847935762325,34.99986683690466,34.99992137003978
Open Office,2,207,38.6,119.76,9.12,4,60,33.66149262478873,32.15730753304209,31.10285403211914,30.22288295248454,29.432948101729107,28.721562750511566,28.045835432390028,34.9999801222707,34.999996805459794,34.99999787030703,34.99999787030537,34.9999978703056,34.999997870306906,34.999998174547635,34.999998174547144,34.99999817454787,34.99999817454818,34.99999862488803,34.999967832639186,34.99996080358603,34.99996072862542,34.99996618855456,34.99998048235753
Project Room,3,301,15.8,46.85,4.61,2,60,34.46146564015257,33.86672328043255,33.4527422782326,33.11804701759149,32.826956529826795,32.56226367272939,32.329632858326974,32.095923977974074,34.99983494764629,34.999993610913315,34.99999574060916,34.999993610909364,34.99999361092337,34.99999361090796,34.99999361090047,34.99999361090965,34.99999361091389,34.99999396669475,34.9999182020453,34.99990023388412,34.99989930701067,34.99991267310662,34.99994902798416
Huddle Area,3,304,5.6,17.33,2.76,1,60,30.795955497674687,26.165980841573493,22.59326528978331,19.32950662019019,16.186729405758626,12.88418401213464,9.220361131710204,4.5235551884897305,34.99998060762271,34.999987221846794,34.9999872217898,34.99998722179855,34.99998722184726,34.99998722178943,34.999987221764506,34.99998722180012,34.99998768515669,34.999758029442354,34.999694375614766,34.99967329420848,34.99968460223028,34.9997315959547,34.999844706413555
Closed Office North,3,305,11.2,34.9,2.76,1,60,34.420573525586086,33.77297646504171,33.32053109651952,32.94485456841225,32.61127287260215,32.30658220660854,32.03027422865657,31.769513672223532,31.5252995216872,31.301611172590373,31.094266611930852,30.869219820940344,30.654558624664787,34.99995913018439,34.999987221745265,34.99998722179323,34.9999872218088,34.99998830174541,34.999892081423546,34.99986636758778,34.999863822396875,34.99988072929799,34.99992956865955
Closed Office South,3,306,10.8,33.62,3.6,1,60,31.088698222402407,26.85122055686916,23.616919618680658,20.731938685460644,18.02163730400407,15.274610709260454,12.405122530831585,9.225643052647552,5.056802318907758,34.999990454086344,34.99914747613156,34.99772079105004,34.99999354450959,34.99998722179446,34.99998722175433,34.99998722179376,34.99998722180944,34.99998826217204,34.99988801602796,34.9998612610381,34.99985861223853,34.999876204466226,34.999926897435486
Open Office,3,307,38.7,120.46,9.12,4,60,31.97952877281178,28.544174008804728,26.043628417655196,23.87911806562147,21.866229625512954,19.93081965056455,17.98546028634667,16.039079466783377,14.019109308193679,34.999995139804795,34.999995740607325,34.9999957406077,34.99999574061657,34.99999574060847,34.99999574060363,34.99999574060814,34.999996100741676,34.99996360426613,34.999954330939346,34.99995218891913,34.999954669252254,34.99996212773891,34.99997857792289
Lounge,4,405,22.1,64.9,6.36,2,60,34.114718087435605,33.09911622907675,32.38081773345292,31.789381016042896,31.270513376350188,30.796220314062897,30.342011973912356,29.92855767869923,29.535575535405325,29.14083053793227,34.999982311836604,33.456802138999656,30.21925973116282,34.99998722068636,34.99998883229048,34.99991669319371,34.99989133677322,34.999882677733254,34.999881305823216,34.999885330117195,34.9998957167967,34.99991493363097,34.999952663913035
Seminar,4,406,38.7,113.73,9.12,4,60,32.65847192221164,30.031556732401363,28.090850442788582,26.487613090342442,25.03215942774476,23.615999195783996,22.304803895260356,21.027723127941268,19.75203355014525,34.999992746109356,34.999999201364844,34.999999201365284,25.725893192149044,34.999998722181935,34.999998722183356,34.999998722183705,34.99999872218389,34.999998622468674,34.99996604075947,34.99995879958091,34.99995857644205,34.999964384317515,34.99997944386995
0,0,0,0,0,0,0,60.00000000000001,32.66199341554665,30.07144473919717,28.144749231283345,26.471642806861,24.910794756632967,23.371588196686343,21.774149599448116,23.777308006674552,26.66564927593639,34.26098340936815,34.77914883766637,34.467645689670604,32.3775225662361,34.99999255137014,34.99999412569286,34.999987332668375,34.99998471220965,34.99996679185748,34.99992131510797,34.9999101586914,34.99991146159297,34.99992409388217,34.999956013323605
